month,market,active_listings,median_sale_price,median_ppsf,avg_dom,avg_affordability
2023-01,Alpharetta,58,634000.0,210.865,35.12068965517241,68.30172413793103
2023-01,Atlanta,84,362000.0,120.175,41.70238095238095,80.92261904761905
2023-01,Decatur,56,503000.0,159.97500000000002,39.035714285714285,57.112500000000004
2023-01,Duluth,49,450500.0,133.55,37.285714285714285,68.92857142857143
2023-01,Johns Creek,63,610500.0,198.08,36.23809523809524,73.1952380952381
2023-01,Lawrenceville,68,368000.0,122.35499999999999,37.161764705882355,77.82352941176471
2023-01,Marietta,73,418000.0,134.72,38.64383561643836,72.45205479452055
2023-01,Norcross,59,363000.0,111.62,37.33898305084746,79.4864406779661
2023-01,Peachtree Corners,75,535500.0,158.97,34.4,56.53333333333333
2023-01,Roswell,51,590000.0,166.44,37.568627450980394,51.83137254901961
2023-01,Sandy Springs,84,583000.0,180.85500000000002,36.13095238095238,76.74047619047619
2023-01,Smyrna,66,424000.0,144.74,38.515151515151516,70.14242424242424
2023-02,Alpharetta,47,639000.0,221.21,33.702127659574465,67.56170212765957
2023-02,Atlanta,40,342000.0,109.545,42.45,80.0875
2023-02,Decatur,42,487000.0,172.615,36.642857142857146,59.671428571428564
2023-02,Duluth,61,412000.0,145.08,38.14754098360656,68.00327868852459
2023-02,Johns Creek,63,624500.0,195.41,36.55555555555556,74.62857142857143
2023-02,Lawrenceville,68,376000.0,121.39,38.25,75.46911764705882
2023-02,Marietta,71,465000.0,132.8,39.647887323943664,70.11408450704226
2023-02,Norcross,49,361000.0,110.22,37.30612244897959,79.4673469387755
2023-02,Peachtree Corners,56,515000.0,181.68,37.44642857142857,59.841071428571425
2023-02,Roswell,64,534000.0,180.98000000000002,34.84375,55.2234375
2023-02,Sandy Springs,60,588000.0,187.64,38.5,77.72333333333333
2023-02,Smyrna,61,450000.0,143.03,37.57377049180328,65.09180327868852
2023-03,Alpharetta,64,627000.0,206.76999999999998,36.9375,69.7015625
2023-03,Atlanta,55,362000.0,125.17,40.981818181818184,77.46363636363637
2023-03,Decatur,80,505000.0,164.04500000000002,38.65,55.60125000000001
2023-03,Duluth,52,392000.0,137.575,31.634615384615383,74.69038461538462
2023-03,Johns Creek,61,610000.0,213.54,38.9344262295082,74.60983606557377
2023-03,Lawrenceville,58,389000.0,121.215,39.12068965517241,73.11551724137931
2023-03,Marietta,67,450000.0,131.64,40.223880597014926,68.25223880597014
2023-03,Norcross,53,382500.0,122.17,38.283018867924525,76.17169811320754
2023-03,Peachtree Corners,56,526500.0,160.875,37.517857142857146,53.276785714285715
2023-03,Roswell,67,569000.0,189.46,37.82089552238806,49.62985074626865
2023-03,Sandy Springs,64,585000.0,182.89,34.53125,79.571875
2023-03,Smyrna,67,439500.0,147.04,37.791044776119406,66.08208955223881
2023-04,Alpharetta,62,670500.0,214.66500000000002,35.5,68.77580645161291
2023-04,Atlanta,57,361000.0,119.26,44.03508771929825,76.46842105263157
2023-04,Decatur,63,502000.0,187.75,41.142857142857146,52.630158730158726
2023-04,Duluth,73,384500.0,142.46,38.397260273972606,67.74931506849315
2023-04,Johns Creek,53,622000.0,203.72,34.43396226415094,71.11698113207547
2023-04,Lawrenceville,83,381000.0,121.36,37.08433734939759,71.7289156626506
2023-04,Marietta,66,439000.0,134.835,38.74242424242424,69.53787878787878
2023-04,Norcross,80,372500.0,121.07499999999999,38.3,79.30375000000001
2023-04,Peachtree Corners,56,530500.0,161.8,36.92857142857143,60.98392857142857
2023-04,Roswell,65,559500.0,179.89,38.292307692307695,49.97692307692308
2023-04,Sandy Springs,53,606000.0,194.2,35.301886792452834,73.27547169811321
2023-04,Smyrna,58,444000.0,147.585,37.46551724137931,68.01896551724138
2023-05,Alpharetta,58,677000.0,203.64999999999998,37.0,68.53793103448275
2023-05,Atlanta,61,388000.0,125.73,36.75409836065574,77.10000000000001
2023-05,Decatur,55,499000.0,190.08,38.89090909090909,56.18363636363636
2023-05,Duluth,77,406000.0,142.75,39.532467532467535,69.51298701298701
2023-05,Johns Creek,65,646000.0,219.86,38.38461538461539,72.09846153846154
2023-05,Lawrenceville,50,355000.0,131.875,36.32,80.47
2023-05,Marietta,50,416000.0,155.64499999999998,35.86,69.016
2023-05,Norcross,64,371000.0,125.925,38.4375,74.4578125
2023-05,Peachtree Corners,61,527000.0,176.55,34.85245901639344,55.24098360655737
2023-05,Roswell,70,561500.0,189.805,40.32857142857143,56.59285714285714
2023-05,Sandy Springs,64,592000.0,185.47,37.8125,72.5203125
2023-05,Smyrna,62,452500.0,152.69,37.04838709677419,63.682258064516134
2023-06,Alpharetta,61,649000.0,215.7,36.967213114754095,68.61803278688524
2023-06,Atlanta,46,384500.0,130.515,40.73913043478261,75.72173913043478
2023-06,Decatur,54,534000.0,165.16,36.81481481481482,60.78703703703704
2023-06,Duluth,58,436000.0,139.74,36.741379310344826,66.2103448275862
2023-06,Johns Creek,65,638000.0,204.33,36.4,70.30153846153847
2023-06,Lawrenceville,66,376000.0,128.81,38.21212121212121,75.60909090909091
2023-06,Marietta,67,433500.0,149.23,39.26865671641791,64.02388059701494
2023-06,Norcross,56,348000.0,128.68,40.410714285714285,80.29285714285713
2023-06,Peachtree Corners,76,560000.0,181.07,34.276315789473685,46.21842105263158
2023-06,Roswell,67,570500.0,177.68,36.11940298507463,50.950746268656715
2023-06,Sandy Springs,56,619500.0,184.49,40.92857142857143,71.06607142857142
2023-06,Smyrna,58,484000.0,145.525,37.12068965517241,60.51206896551724
2023-07,Alpharetta,71,633000.0,210.7,34.563380281690144,68.00281690140845
2023-07,Atlanta,58,381000.0,127.58500000000001,37.48275862068966,76.74310344827587
2023-07,Decatur,73,543500.0,166.19,36.136986301369866,54.94794520547945
2023-07,Duluth,54,446000.0,144.985,37.25925925925926,63.038888888888884
2023-07,Johns Creek,67,684000.0,201.34,35.343283582089555,63.56865671641791
